,url,text,rating
0,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Being from New England, it's amusing to me that this B&J location at Haight Ashbury is so prominently placed in the neighborhood. It's probably seen better days but it still suit my needs for amazing plant-based ice cream.

You can buy this variety both in the freezer selection on the left, as well as some of the scoop selections. In the freezer, there is a wide selection of their almond, sunflower, and oat milk.

However, the freezer section always look half empty and that's sort of the feeling you get being here. The staff have always been very friendly but the inside could use a bit of a face lift.

But even though the ambiance leaves a bit to be desired the ice cream fortunately does not!",4 star rating
1,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"I was feeling the desire for some ice cream. Then I walked over to Ben and Jerry's. Even though today was all about fire. But when I walked in, the person here was so friendly. It made my day a lot better. Then I sat on the bench at the front and then finished it.",4 star rating
2,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,I can only eat dairy free ice cream- so I'm crazy about the dairy free cookie dough. Love it!! One of the best ice creams to eat!!,5 star rating
3,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Most of the ice cream's bins half melted, and looked like a slush. I was very disappointed that the portion I got for $7.25. Do not go here go to Salt and Straw and get your moneys worth. See the picture below of the scoop I got, keep in mind I don't have very big hands. I can get a pint at the store for $6.99 or less!!",1 star rating
4,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,Paying a premium for Coffeecoffeebuzzbuzzbuzz while local department stores aren't stocking the flavor. Grateful this shop has it.,4 star rating
5,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Extremely dirty outside, prices are very high (their ice cream cake is tiny, for the same price you can get a nicer one 3x as big from BiRite).",1 star rating
6,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,Dropped in as I was thrifting along Haight Street. Great spot to quickly stop by for some ice cream. They have so many flavors and you can get free samples! Try as many as you want before you decide what to get. The small size is pretty small and the larger size is just less than a $1 more. The service was great! The lady there was super nice and was happy to give out samples. I would be happy to come again to get some ice cream whenever I'm in the area.,5 star rating
7,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Average Ben & Jerry's! A solid, perfect 3. Of course over priced being it's San Francisco and in a prime Haight location. Honestly come pay for the experience and vibe and if you want to enjoy a nice day out, but in the end, it's always gonna be better to just go to the store and get a pint for the same price as one scoop. Ice cream is still tasty though!",3 star rating
8,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,Great place to visit on a hot day. Get whatever satisfies your craving. It's the place to be.,5 star rating
9,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Delicious ice cream selection! April 3rd they gave out free ice cream for raising funds regarding healthcare. You are allowed to come back for more! It is really fun and sweet. Service was nice and quick! Will say whoever gave me my last scoop gave me comparatively less than the other employees and to my friends who also were getting seconds but hey its free ice cream. I tried both non dairy and dairy flavors, though I prefer non dairy. Wish they had chunky monkey at this event! Or another fruity flavor besides cherry garcia but this was probably their most popular flavors there.",4 star rating
10,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"A cute little scoop shop with all of the classic Ben & Jerry's flavors. It's located right on Haight-Ashbury next to a ton of stores and restaurants and is the perfect spot to pop in for a little treat. It definitely runs a bit expensive for ice cream, so just keep that in mind while visiting.

I liked the variety of flavors available (including fan favorites like The Tonight Dough)! I went for a scoop of Netflix and Chill'd, which is a peanut butter ice cream with brownie bits and pretzels mixed in. The flavor was really good, but something about the texture felt a little bit off since it wasn't all that creamy. All things considered, still pretty good overall!",4 star rating
11,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Totally support this ice cream shop and its long standing history on this corner. As this Covid ends, and Spring is here, we need to support the base businesses on this street that made the Haight so great! We already lost a T-shirt shop and other eateries during the pandemic, so get some great ice cream flavors and support one of the most corporate conscious brands in the world. Eat Ice cream that spreads peace and love. Cherry Garcia is the word! Also go to tony's slice house before! Great pizza shop even if it is new!!",5 star rating
12,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"If I could give this place a 0 I would

First off each time I come here they can never make milkshakes regardless of how many people are working even when there is no line

The last time I went here a couple weeks ago the white tall worker told me he wasn't making milkshakes ""because"" and I asked if he was joking and he said no so I walked out obviously upset, my husband was so upset about how he responded to me he went inside and asked him to make a milkshake too and he said no as well and then my husband asked why no one is here why can't you make a milkshake (mind you it was also raining so they had no customers no line nothing we thought they would appreciate business) he tells my husband ""he didn't want to clean up the mess""

I reach out to the HR manager who says she was in their ""basement"" the entire time and they can't make milkshakes if one scooper is on the line which is the worst excuse ever because I've gone to the one on Jefferson st where there was one worker and someone behind me and the guy still made me a milkshake! At that two milkshakes! With no complaints you know why? Because they just use a blender to make it

THENNNN the HR manager emailed me saying that their machinery is down and tried to blame the pandemic! How ridiculous of her to make excuses after excuses as to why they cannot service their customers

So sad that this franchise has people like this working. They are the worst location here in the city. Don't even bother that's why they never have customers in because they have shitty service",1 star rating
13,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Always incredibly good quality. I'm
Not even a big ice cream fan, but I do go here when I'm nearby.",5 star rating
14,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,Ben and Jerry's on Haight Street is classic. I got the moons chocolate flavor after not wanting peanut butter ice cream. It was $6 something and pretty good. Ice cream is expensive now. I got a cake cone. It was a delightful treat after a tour of Haight Ashbury.,4 star rating
15,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,Cutest little ice cream shop that has nice history on Haight. Daniel is always super helpful and cheery and gives recommendations when you are unsure. Even when busy they are super polite and happy to do anything. Really sweet staff and also great ice cream!,5 star rating
16,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"The person who served me was not very friendly; finished a conversation with a coworker while I stood waiting to order. Barely made eye contact when I ordered. Walked away from the cash register as soon as I put my card in. At least they prepared my order quickly, I guess. Also $6 for a tiny cup of ice cream??? I'm sorry, I can buy a pint for that much at a grocery store. First & last time I check out a Ben and Jerry's storefront, even though I got to try a flavor I've never seen in stores. Not worth it.",1 star rating
17,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,I love their ice cream. I would also like to thank them for the free ice cream given to us veterans at Ft. Miley VA Hospital. Rangers Lead The Way.,5 star rating
18,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"I eat ice cream most days, and I have been a Ben & Jerry's fan for a long time. My visit to this location in December, however, was the worst experience I have EVER had in any ice cream shop. I ordered the Chocolate Peanut Buttery Swirl. When I met the employee at the register, I handed him a small cone certificate I've had in my wallet for a number of years. (I have two of them from my college's admissions office -- a thank you gift for my work as a volunteer tour guide.) His first reaction was to say that it was only valid at the location printed on the certificate, but I pointed out to that it only specified that is where it was purchased -- not where it could be redeemed. He continued to make excuses as to why he couldn't accept it -- e.g. that it was old. I pointed out that dollar bills are sometimes old -- that does not mean they are worthless. He showed my certificate to his manager, who wouldn't budge, either. I left the scoop shop without my ice cream. I don't know what the Ben & Jerry's staff did with my ice cream cone, but I hope they ate it rather than throw it out.

Six weeks later, I decided to try again -- maybe it was just the particular staff that day? After donating blood just over half a mile away, I walk in and speak to a friendly employee who, recognizing what I have just done, asks if I'd like some sugar. Since I don't want to risk my order going to waste this time, I show her the certificate and ask if there will be any issue using it. She says she should check with her manager, who comes to the counter and says to me that she can't accept it but can offer me a 10% discount instead. How generous. When I ask what the problem is, all she says is that the store hasn't taken such a certificate in five years. This is the typical bureaucratic response that does not actually offer any explanation: ""We can't take accept it because we don't accept it.""

As I previously stated, my certificate does not say it is only valid at certain shops. It does not expire, and it is not a forgery. (Has this Ben & Jerry's been victimized by a forger that I haven't heard of? Has the staff been trained to assume anything a customer tries to use is a fake?) There are dozens of quality ice cream shops in San Francisco to choose from. I won't visit this one again, and I'd strongly encourage anyone reading this to spend your money elsewhere, too.",1 star rating
19,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"It wasn't good. At all. Ben & Jerry's should do a quality control audit on this place.

I get better tasting ice-cream from 7-11...for a lot cheaper.

I love my artisanal hipster ice creams...but I wasn't expecting anything spectacular because it's just B & J.

But come on it has to be at least good. I chose a flavor that didn't look covered in ice crystals. But still my milkshake was abysmal.

There's a window-side bar stools. That was nice.

The staff was very nice. That was nice too.

But I can't recommend anyone give away their money for subpar frozen treats. I will however recommend you go to 7-11. They have better tasting 7-11 brand ice cream. But if you insist, their Ben & Jerry's selection isn't bad either. Obviously it depends on which location you visit.",2 star rating
20,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Those wacky Vermontians (is that what you call them?) really nailed it with their ice cream business. Really stoked to find this shop in Haight-Ashbury as we were checking out some stores over there and really needed a snack.

All the classic B&J's flavors...well, except for the ones they were out of...which was kind of a lot. They were also out of whipped cream (for shakes/sundaes), bananas (for banana splits), waffle cups (for waffle sundaes). So it was kind of a process of elimination to decide what to order. Basically, what were they not out of and did it sound good? Thankfully it still ended up being pretty dope.

They were also short-staffed so they were getting slammed, but they were super nice and friendly, like you'd expect from ice cream scooping hippies. :)",4 star rating
21,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"This icecream place is supper nice and clean and the staff is really nice too, I was helped by Stevie and she guided me through the best selection of icecream they have. icecream tasted great! I would totally come back",5 star rating
22,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Employee was rude and I'm pretty sure he overcharged me. When I asked for the receipt to check, he slammed it on the counter, causing it to fall under the counter where I could not get it. He also mumbled under his breath saying me and the lady in front of me were being rude, while we both stood there confused. Overall, I felt uncomfortable during this visit and did not appreciate how I was treated.",1 star rating
23,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Wham, bam, thank you ice cream scooper!

I came in here on a very cold day of shopping for some half baked ice cream. The service was quick and friendly and I was in and out in less then 5 minutes!

I got a sugar cone with their name of half baked ice cream, they pile it on pretty good! There was a solid 2 and half scoops of sugary goodness on my cone that I was not gonna complain about. They have different options for cones and bowls including waffle bowls and cones with chocolate, cones without chocolate, so you can really make it your own.",4 star rating
24,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,Outrageously expensive. And I'm pretty used to Bay Area prices. $6.25 for a small scoop PLUS another $2 for a cone. The small scoop is like a kid size cone. And the person seemed pleased when we were shocked that two tiny ice cream cones came to over $17. We were both angry at ourselves for not just putting down the ice cream cones and walking out. Seriously way over priced served by a smug worker.,1 star rating
25,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,I enjoyed almost all my ice cream until I found a green hair at the bottom. Really gross :(,1 star rating
26,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,"Was planning on eating here, until the worker/manager started smoking a cigarette in front of the door? He then proceeded to tell me I cannot sit on the benches because I didn't have my ice cream yet. Their are multiple benches, and no one was eating here (shocker). Horrible customer service. Horrible ice cream. Pretty sure I saw a maggot? Though I usually love Ben and Jerry's this experience was horrific.

Wouldn't recommend!",1 star rating
27,https://www.yelp.com/biz/ben-and-jerry-s-san-francisco-4,You gotta love the ice cream here. My favorite is Chunky Monkey !,5 star rating
