,predicted_label,scores,true_label
0,1,0.9729458689689636,1
1,1,0.47195905447006226,1
2,1,0.9092052578926086,1
3,1,0.9349462389945984,1
4,-1,0.704387366771698,0
5,1,0.9879683256149292,1
6,1,0.5718432068824768,1
7,-1,0.38137561082839966,0
8,1,0.9438472986221313,1
9,1,0.8422223329544067,0
10,1,0.9229409098625183,1
11,1,0.9773688316345215,1
12,1,0.9162188172340393,1
13,-1,0.4987045228481293,0
14,1,0.5357362627983093,-1
15,-1,0.8982570767402649,-1
16,1,0.9742113947868347,0
17,1,0.9745306968688965,1
18,1,0.8918957710266113,1
19,-1,0.82412189245224,-1
20,1,0.9423127174377441,1
21,-1,0.937626838684082,0
22,1,0.9410580992698669,1
23,1,0.9873054027557373,1
24,1,0.9860148429870605,1
25,1,0.9072312116622925,1
26,1,0.9544651508331299,1
27,1,0.97514408826828,1
28,-1,0.8146619200706482,-1
29,1,0.9839816689491272,1
30,-1,0.9430360198020935,-1
31,1,0.9726424217224121,1
32,-1,0.695254385471344,-1
33,1,0.9456396102905273,1
34,1,0.9675695300102234,1
35,0,0.46239346265792847,1
36,1,0.9842432737350464,1
37,1,0.9805665016174316,1
38,1,0.9813592433929443,1
39,1,0.942557156085968,1
40,-1,0.6014106273651123,-1
41,-1,0.8328055739402771,-1
42,1,0.9671607613563538,1
43,1,0.9696974158287048,0
44,1,0.8310686945915222,-1
45,1,0.9815126657485962,1
46,1,0.9284830689430237,1
47,1,0.9818700551986694,1
48,-1,0.5129923224449158,-1
49,1,0.978872537612915,1
50,1,0.9900128841400146,1
51,1,0.9583308100700378,1
52,1,0.9848286509513855,1
53,1,0.938552975654602,1
54,1,0.9878975749015808,1
55,-1,0.9215676188468933,-1
56,1,0.7577705383300781,1
57,1,0.9793580174446106,1
58,1,0.8894125819206238,0
59,1,0.5909327864646912,0
60,1,0.9867411255836487,1
61,-1,0.9139478206634521,-1
62,1,0.6972125172615051,1
63,1,0.9817241430282593,1
64,1,0.989382803440094,1
65,1,0.9761121273040771,1
66,1,0.9817783832550049,1
67,0,0.4779462218284607,1
68,1,0.9750551581382751,1
69,1,0.9814863801002502,1
70,1,0.989291250705719,1
71,1,0.9864699244499207,1
72,1,0.9721348285675049,1
73,1,0.9797667264938354,1
74,1,0.985615611076355,1
75,1,0.9501513838768005,1
76,1,0.9804888963699341,1
77,1,0.989781379699707,1
78,1,0.9843816161155701,1
79,1,0.9830460548400879,1
80,1,0.9857770800590515,1
81,1,0.9872261881828308,1
82,-1,0.9312586784362793,-1
83,1,0.9796677827835083,1
84,1,0.9853426218032837,1
85,1,0.9454622268676758,1
86,1,0.9737116694450378,1
87,1,0.9830439686775208,1
88,1,0.9766655564308167,1
89,1,0.9799780249595642,1
90,1,0.9680988192558289,1
91,1,0.986349880695343,1
92,1,0.9837141633033752,1
93,1,0.9865849018096924,1
94,1,0.9892024397850037,1
95,1,0.9746071100234985,1
96,1,0.9863724112510681,1
97,1,0.9879891872406006,1
98,1,0.9859354496002197,1
99,1,0.9622217416763306,1
100,1,0.972064197063446,1
101,0,0.8310980200767517,-1
102,1,0.9390497803688049,1
103,1,0.9550137519836426,1
104,1,0.9243969917297363,1
105,-1,0.7411068081855774,-1
106,-1,0.570496678352356,-1
107,1,0.8825539350509644,0
108,1,0.8591225147247314,0
109,0,0.4374082386493683,0
110,1,0.34450769424438477,-1
111,1,0.9804630875587463,1
112,1,0.9681365489959717,1
113,1,0.9026881456375122,1
114,1,0.9677024483680725,1
115,1,0.958444356918335,1
116,1,0.9564241766929626,1
117,1,0.7110110521316528,0
118,0,0.5056902170181274,-1
119,0,0.8165234923362732,1
120,-1,0.7989091873168945,-1
121,0,0.4561774432659149,-1
122,0,0.5483343005180359,1
123,1,0.9241455793380737,1
124,1,0.9633637070655823,1
125,1,0.7848445177078247,1
126,-1,0.9453256130218506,-1
127,-1,0.9515311121940613,-1
128,1,0.8732019066810608,1
129,-1,0.9369187951087952,-1
130,1,0.9642934799194336,1
131,1,0.9636348485946655,1
132,1,0.9683665633201599,1
133,-1,0.8092677593231201,-1
134,1,0.880776047706604,0
135,1,0.965092122554779,1
136,0,0.8776637315750122,1
137,-1,0.8668591380119324,-1
138,1,0.898698091506958,0
139,1,0.9699265956878662,1
140,-1,0.9200484752655029,-1
141,-1,0.9040263891220093,-1
142,1,0.9750587344169617,1
143,1,0.9840255379676819,1
144,-1,0.8113723993301392,-1
145,1,0.7043440341949463,1
146,1,0.6501055955886841,-1
147,1,0.6585570573806763,1
148,1,0.6559731960296631,1
149,1,0.9331355690956116,1
150,1,0.7711448669433594,0
151,1,0.9748778939247131,1
152,1,0.5331751108169556,1
153,-1,0.9057899117469788,0
154,-1,0.9046025276184082,-1
155,-1,0.9401126503944397,-1
156,1,0.7838698029518127,0
157,1,0.973461389541626,1
158,0,0.48986586928367615,1
159,0,0.5502293705940247,-1
160,1,0.7597295045852661,1
161,-1,0.8359057903289795,-1
162,0,0.5526881814002991,-1
163,1,0.9769048690795898,1
164,1,0.9494690299034119,1
165,-1,0.8578671216964722,-1
166,0,0.5191851258277893,-1
167,-1,0.9021424651145935,0
168,1,0.9726804494857788,1
169,-1,0.9283446073532104,-1
170,0,0.5351111888885498,0
171,1,0.9811232686042786,1
172,-1,0.9388079643249512,-1
173,1,0.9833267331123352,1
174,1,0.9900743365287781,1
